cores mu intr_lambda qps avg p50 p90 p95 p99 p999 distribution
16 0.1 16.0 0.0200379377632 10.0 10.0 10.0 10.0 10.0 10.0 constant
16 0.1 16.0 0.119586218822 10.0 10.0 10.0 10.0 10.0 10.0 constant
16 0.1 16.0 0.219834110252 10.0 10.0 10.0 10.0 10.0 10.0 constant
16 0.1 16.0 0.319886731543 10.0 10.0 10.0 10.0 10.0 10.0 constant
16 0.1 16.0 0.419620369481 10.0000057909 10.0 10.0 10.0 10.0 10.0 constant
16 0.1 16.0 0.520396752408 10.0000688483 10.0 10.0 10.0 10.0 10.0 constant
16 0.1 16.0 0.619528993762 10.0006205726 10.0 10.0 10.0 10.0 10.0 constant
16 0.1 16.0 0.720112353188 10.0029907619 10.0 10.0 10.0 10.0 11.1649525836 constant
16 0.1 16.0 0.819978119143 10.0103819755 10.0 10.0 10.0 10.0434779311 12.2650191522 constant
16 0.1 16.0 0.919771716744 10.0288617225 10.0 10.0 10.0 11.1469927819 13.1297403444 constant
16 0.1 16.0 1.02015548188 10.0730745719 10.0 10.0 10.2857247132 12.1592619279 14.0324610067 constant
16 0.1 16.0 1.12009591704 10.1610497675 10.0 10.2749917507 11.2999902554 13.1246236423 15.2007975313 constant
16 0.1 16.0 1.21932196718 10.3379955841 10.0 11.3456760016 12.3640911209 14.3444362755 17.1163749932 constant
16 0.1 16.0 1.23942592846 10.3933879456 10.0 11.588024098 12.618747978 14.6539630154 17.5524451593 constant
16 0.1 16.0 1.26032954416 10.455626326 10.0 11.8262805324 12.8725125315 15.0170292691 18.0882497604 constant
16 0.1 16.0 1.28036419954 10.529106011 10.0 12.0845120065 13.1586170474 15.4390019458 18.7009952809 constant
16 0.1 16.0 1.29955851263 10.6104625314 10.0 12.343148516 13.4599701301 15.9236751432 19.3443278749 constant
16 0.1 16.0 1.32006673837 10.7068737098 10.0 12.6250098103 13.7865761274 16.4421009733 20.4528589519 constant
16 0.1 16.0 1.33994379874 10.8259949498 10.0 12.9580892059 14.1931369738 17.1091371817 21.1802818601 constant
16 0.1 16.0 1.36013312745 10.9595051332 10.0 13.2965370647 14.6336797341 17.8063489734 22.4000299154 constant
16 0.1 16.0 1.37964695563 11.1394396384 10.0 13.767858455 15.2487233789 18.7327927472 23.4513011421 constant
16 0.1 16.0 1.40022953195 11.3485635353 10.0 14.2819015784 15.9293135587 19.7474275762 25.2724462217 constant
